dump-trucks_730e-8,dump-trucks_730e-8_SPECS-1,dump-trucks_730e-8_SPECS-2,dump-trucks_730e-8_SPECS-3,dump-trucks_830e-1ac,dump-trucks_830e-1ac_SPECS-1,dump-trucks_830e-1ac_SPECS-2,dump-trucks_830e-1ac_SPECS-3,dump-trucks_830e-5,dump-trucks_830e-5_SPECS-1,dump-trucks_830e-5_SPECS-2,dump-trucks_830e-5_SPECS-3,dump-trucks_930e-4se,dump-trucks_930e-4se_SPECS-1,dump-trucks_930e-4se_SPECS-2,dump-trucks_930e-4se_SPECS-3,dump-trucks_930e-5,dump-trucks_930e-5_SPECS-1,dump-trucks_930e-5_SPECS-2,dump-trucks_930e-5_SPECS-3,dump-trucks_980e-4,dump-trucks_980e-4_SPECS-1,dump-trucks_980e-4_SPECS-2,dump-trucks_980e-4_SPECS-3,dump-trucks_hd1500-8,dump-trucks_hd1500-8_SPECS-1,dump-trucks_hd1500-8_SPECS-2,dump-trucks_hd405-7,dump-trucks_hd405-7_SPECS-1,dump-trucks_hd405-7_SPECS-2,dump-trucks_hd405-8,dump-trucks_hd405-8_SPECS-1,dump-trucks_hd405-8_SPECS-2,dump-trucks_hd605-7e0,dump-trucks_hd605-7e0_SPECS-1,dump-trucks_hd605-7e0_SPECS-2,dump-trucks_hd605-8,dump-trucks_hd605-8_SPECS-1,dump-trucks_hd605-8_SPECS-2,dump-trucks_hd785-7,dump-trucks_hd785-7_SPECS-1,dump-trucks_hd785-7_SPECS-2,dump-trucks_hm300-5,dump-trucks_hm300-5_SPECS-1,dump-trucks_hm300-5_SPECS-2,dump-trucks_hm400-5,dump-trucks_hm400-5_SPECS-1,dump-trucks_hm400-5_SPECS-2
Weight (Approximate),Front axle,50%,,Weight (Approximate),Rear axle,50%,,Weight (Approximate),Front axle,48%,,Weight (Approximate),Rear axle,51.5%,,Weight (Approximate),Front axle,49%,,Tyres and Rims,Flange mount rim,1118 mm x 1600 mm x 140 mm rim assembly. Rated at 758 kPa (110 psi) cold inflation pressure,,,,,,,,,,,,,,,,,Weight (Approximate),Rear axle,68.6%,,,,,,
Weight (Approximate),Rear axle,50%,,Weight (Approximate),Loaded:,,,Weight (Approximate),Rear axle,52%,,Weight (Approximate),Loaded:,,,Weight (Approximate),Rear axle,53%,,Tyres and Rims,Typical tye weight,32585 kg,,,,,,,,,,,,,,,,,,,,,,,,,
Weight (Approximate),Loaded:,,,Weight (Approximate),Front axle,33%,,Weight (Approximate),Loaded:,,,Weight (Approximate),Front axle,32.8%,,Weight (Approximate),Loaded:,,,Weight (Approximate),Empty weight,255868 kg,,,,,,,,,,,,,,,,,,,,,,,,,
Weight (Approximate),Front axle,33.6%,,Weight (Approximate),Rear axle,67%,,Weight (Approximate),Front axle,33%,,Weight (Approximate),Rear axle,67.2%,,Weight (Approximate),Front axle,33%,,Weight (Approximate),Gross vehicle weight,625277 kg,,,,,,,,,,,,,,,,,,,,,,,,,
Weight (Approximate),Rear axle,66.4%,,,,,,Weight (Approximate),Rear axle,67%,,,,,,Weight (Approximate),Rear axle,67%,,Weight (Approximate),Empty:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Weight (Approximate),Front axle,48%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Weight (Approximate),Rear axle,52%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Weight (Approximate),Loaded:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Weight (Approximate),Front axle,33%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Weight (Approximate),Rear axle,67%,,,,,,,,,,,,,,,,,,,,,,,,,
